name,born,died,geography,picture,wikipedia_url,non_person
Ashfaqulla Khan,1900,1927,India,,https://en.wikipedia.org/wiki/Ashfaqulla_Khan,
Sarat Chandra Chattopadhyay,1876,1938,India,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Sarat_Chandra_Chattopadhyay.jpg/220px-Sarat_Chandra_Chattopadhyay.jpg,https://en.wikipedia.org/wiki/Sarat_Chandra_Chattopadhyay,
Kazi Nazrul Islam,1899,1976,Bangladesh,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Nazrul.jpg/220px-Nazrul.jpg,https://en.wikipedia.org/wiki/Kazi_Nazrul_Islam,
Meghnad Saha,1893,1956,India,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Dr-Meghnad-Saha.jpg/220px-Dr-Meghnad-Saha.jpg,https://en.wikipedia.org/wiki/Meghnad_Saha,
Satyendra Nath Bose,1894,1974,India,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/SatyenBose1925.jpg/220px-SatyenBose1925.jpg,https://en.wikipedia.org/wiki/Satyendra_Nath_Bose,
Bibhutibhushan Bandyopadhyay,1894,1950,India,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Bibhutibhushan_Bandopadhyay.jpg/200px-Bibhutibhushan_Bandopadhyay.jpg,https://en.wikipedia.org/wiki/Bibhutibhushan_Bandyopadhyay,
Satyajit Ray,1921,1992,India,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Satyajit_Ray_in_New_York.jpg/220px-Satyajit_Ray_in_New_York.jpg,https://en.wikipedia.org/wiki/Satyajit_Ray,
Abhay Charan De,1896,1977,India,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/His_Divine_Grace_A.C._Bhaktivedanta_Swami_Srila_Prabhupada.jpg/220px-His_Divine_Grace_A.C._Bhaktivedanta_Swami_Srila_Prabhupada.jpg,https://en.wikipedia.org/wiki/A._C._Bhaktivedanta_Swami_Prabhupada,
Ramprasad Sen,1718,1775,India,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Ramaprasad_Sen.jpg/220px-Ramaprasad_Sen.jpg,https://en.wikipedia.org/wiki/Ramprasad_Sen,
Raja Krishnachandra Roy,1710,1783,India,,https://en.wikipedia.org/wiki/Krishnachandra_Roy,
